,features
результат,8
боль,8
тактика,8
аорта,8
напряжение,8
кровь,8
ст риск,7
жёсткий,7
желудочковый,7
экг,7
треть,7
лёгочный,7
ожирение,7
средний,7
удовлетворительный сознание,7
обследование,7
позвоночник,7
анамнез,7
пка,7
синдром,7
смотреть,7
покой,7
вено,7
признак,7
пациент,7
риск,7
лж,7
мина,7
сустав,7
левый,7
60,7
70,7
отрицать,7
около,7
слабость,7
состояние удовлетворительный,7
свободный,7
эхокг,7
гипертензия,7
недостаточность,7
справа,7
получать,6
для,6
мсек,6
ст,6
сердце,6
митральный,6
курс,6
узел,6
мг,6
сердцебиение,6
стеноз,6
общий,6
ка,6
140,6
фон,6
определяться орган,6
патология,6
отдел,6
доза,6
70 мм,6
диабет,6
кт,6
поступление,6
нижний,6
нарушить,6
место,6
диагноз,6
снижение,6
систолический,6
плановый,6
130,6
ритм,6
выраженный,6
норма,6
сердечный,6
онмк,6
степень,6
масса,6
вид,6
полость,6
по данные,6
поступить,6
чсс,6
уплотнить,5
90 мм,5
лёгкий,5
препарат,5
регургитация,5
осложнение,5
клинический,5
исследование,5
розовый костный,5
одышка,5
аортальный,5
сутки,5
высокий,5
хронический гастрит,5
лаб,5
головной,5
хсн,5
план,5
после,5
не увеличить,5
удовлетворительный наполнение,5
36 град,5
решение,5
акк,5
слева,4
номер,4
приём,4
самостоятельно,4
клетка,4
терапия,4
мл,4
коронарный,4
положение,4
желудочек,3
сердце не,3
